date,crime_count,day,month,year,day_of_week,is_weekend
2002-01-31,988,31,1,2002,3,0
2002-02-01,1378,1,2,2002,4,0
2002-02-02,1219,2,2,2002,5,1
2002-02-03,1041,3,2,2002,6,1
2002-02-04,1068,4,2,2002,0,0
2002-02-05,1153,5,2,2002,1,0
2002-02-06,1201,6,2,2002,2,0
2002-02-07,1227,7,2,2002,3,0
2002-02-08,1300,8,2,2002,4,0
2002-02-09,1260,9,2,2002,5,1
2002-02-10,1102,10,2,2002,6,1
2002-02-11,1231,11,2,2002,0,0
2002-02-12,1339,12,2,2002,1,0
2002-02-13,1157,13,2,2002,2,0
2002-02-14,1211,14,2,2002,3,0
2002-02-15,1394,15,2,2002,4,0
2002-02-16,1237,16,2,2002,5,1
2002-02-17,1040,17,2,2002,6,1
2002-02-18,1222,18,2,2002,0,0
2002-02-19,1171,19,2,2002,1,0
2002-02-20,1247,20,2,2002,2,0
2002-02-21,1253,21,2,2002,3,0
2002-02-22,1275,22,2,2002,4,0
2002-02-23,1261,23,2,2002,5,1
2002-02-24,1219,24,2,2002,6,1
2002-02-25,1214,25,2,2002,0,0
2002-02-26,1098,26,2,2002,1,0
2002-02-27,1192,27,2,2002,2,0
2002-02-28,1198,28,2,2002,3,0
2002-03-01,1539,1,3,2002,4,0
2002-03-02,1093,2,3,2002,5,1
2002-03-03,915,3,3,2002,6,1
2002-03-04,969,4,3,2002,0,0
2002-03-05,1108,5,3,2002,1,0
2002-03-06,1233,6,3,2002,2,0
2002-03-07,1227,7,3,2002,3,0
2002-03-08,1467,8,3,2002,4,0
2002-03-09,1224,9,3,2002,5,1
2002-03-10,1075,10,3,2002,6,1
2002-03-11,1297,11,3,2002,0,0
2002-03-12,1278,12,3,2002,1,0
2002-03-13,1413,13,3,2002,2,0
2002-03-14,1436,14,3,2002,3,0
2002-03-15,1494,15,3,2002,4,0
2002-03-16,1257,16,3,2002,5,1
2002-03-17,1136,17,3,2002,6,1
2002-03-18,1262,18,3,2002,0,0
2002-03-19,1233,19,3,2002,1,0
2002-03-20,1290,20,3,2002,2,0
2002-03-21,1163,21,3,2002,3,0
2002-03-22,1218,22,3,2002,4,0
2002-03-23,1214,23,3,2002,5,1
2002-03-24,1227,24,3,2002,6,1
2002-03-25,1122,25,3,2002,0,0
2002-03-26,1216,26,3,2002,1,0
2002-03-27,1342,27,3,2002,2,0
2002-03-28,1424,28,3,2002,3,0
2002-03-29,1247,29,3,2002,4,0
2002-03-30,1334,30,3,2002,5,1
2002-03-31,1137,31,3,2002,6,1
2002-04-01,1528,1,4,2002,0,0
2002-04-02,1269,2,4,2002,1,0
2002-04-03,1304,3,4,2002,2,0
2002-04-04,1340,4,4,2002,3,0
2002-04-05,1534,5,4,2002,4,0
2002-04-06,1361,6,4,2002,5,1
2002-04-07,1103,7,4,2002,6,1
2002-04-08,1203,8,4,2002,0,0
2002-04-09,1348,9,4,2002,1,0
2002-04-10,1477,10,4,2002,2,0
2002-04-11,1439,11,4,2002,3,0
2002-04-12,1377,12,4,2002,4,0
2002-04-13,1331,13,4,2002,5,1
2002-04-14,1297,14,4,2002,6,1
2002-04-15,1494,15,4,2002,0,0
2002-04-16,1328,16,4,2002,1,0
2002-04-17,1347,17,4,2002,2,0
2002-04-18,1357,18,4,2002,3,0
2002-04-19,1364,19,4,2002,4,0
2002-04-20,1323,20,4,2002,5,1
2002-04-21,1108,21,4,2002,6,1
2002-04-22,1198,22,4,2002,0,0
2002-04-23,1321,23,4,2002,1,0
2002-04-24,1297,24,4,2002,2,0
2002-04-25,1326,25,4,2002,3,0
2002-04-26,1401,26,4,2002,4,0
2002-04-27,1282,27,4,2002,5,1
2002-04-28,1152,28,4,2002,6,1
2002-04-29,1480,29,4,2002,0,0
2002-04-30,1351,30,4,2002,1,0
2002-05-01,1497,1,5,2002,2,0
2002-05-02,1269,2,5,2002,3,0
2002-05-03,1316,3,5,2002,4,0
2002-05-04,1315,4,5,2002,5,1
2002-05-05,1281,5,5,2002,6,1
2002-05-06,1274,6,5,2002,0,0
2002-05-07,1308,7,5,2002,1,0
2002-05-08,1396,8,5,2002,2,0
2002-05-09,1396,9,5,2002,3,0
2002-05-10,1523,10,5,2002,4,0
2002-05-11,1267,11,5,2002,5,1
2002-05-12,1174,12,5,2002,6,1
2002-05-13,1405,13,5,2002,0,0
2002-05-14,1448,14,5,2002,1,0
2002-05-15,1540,15,5,2002,2,0
2002-05-16,1273,16,5,2002,3,0
2002-05-17,1425,17,5,2002,4,0
2002-05-18,1374,18,5,2002,5,1
2002-05-19,1260,19,5,2002,6,1
2002-05-20,1384,20,5,2002,0,0
2002-05-21,1383,21,5,2002,1,0
2002-05-22,1333,22,5,2002,2,0
2002-05-23,1552,23,5,2002,3,0
2002-05-24,1466,24,5,2002,4,0
2002-05-25,1382,25,5,2002,5,1
2002-05-26,1306,26,5,2002,6,1
2002-05-27,1302,27,5,2002,0,0
2002-05-28,1513,28,5,2002,1,0
2002-05-29,1460,29,5,2002,2,0
2002-05-30,1521,30,5,2002,3,0
2002-05-31,1572,31,5,2002,4,0
2002-06-01,1782,1,6,2002,5,1
2002-06-02,1439,2,6,2002,6,1
2002-06-03,1352,3,6,2002,0,0
2002-06-04,1320,4,6,2002,1,0
2002-06-05,1348,5,6,2002,2,0
2002-06-06,1482,6,6,2002,3,0
2002-06-07,1446,7,6,2002,4,0
2002-06-08,1348,8,6,2002,5,1
2002-06-09,1340,9,6,2002,6,1
2002-06-10,1402,10,6,2002,0,0
2002-06-11,1474,11,6,2002,1,0
2002-06-12,1527,12,6,2002,2,0
2002-06-13,1367,13,6,2002,3,0
2002-06-14,1380,14,6,2002,4,0
2002-06-15,1482,15,6,2002,5,1
2002-06-16,1400,16,6,2002,6,1
2002-06-17,1412,17,6,2002,0,0
2002-06-18,1439,18,6,2002,1,0
2002-06-19,1357,19,6,2002,2,0
2002-06-20,1398,20,6,2002,3,0
2002-06-21,1468,21,6,2002,4,0
2002-06-22,1356,22,6,2002,5,1
2002-06-23,1437,23,6,2002,6,1
2002-06-24,1390,24,6,2002,0,0
2002-06-25,1465,25,6,2002,1,0
2002-06-26,1453,26,6,2002,2,0
2002-06-27,1437,27,6,2002,3,0
2002-06-28,1393,28,6,2002,4,0
2002-06-29,1470,29,6,2002,5,1
2002-06-30,1477,30,6,2002,6,1
2002-07-01,1635,1,7,2002,0,0
2002-07-02,1412,2,7,2002,1,0
2002-07-03,1320,3,7,2002,2,0
2002-07-04,1466,4,7,2002,3,0
2002-07-05,1532,5,7,2002,4,0
2002-07-06,1467,6,7,2002,5,1
2002-07-07,1452,7,7,2002,6,1
2002-07-08,1493,8,7,2002,0,0
2002-07-09,1440,9,7,2002,1,0
2002-07-10,1559,10,7,2002,2,0
2002-07-11,1401,11,7,2002,3,0
2002-07-12,1551,12,7,2002,4,0
2002-07-13,1478,13,7,2002,5,1
2002-07-14,1407,14,7,2002,6,1
2002-07-15,1619,15,7,2002,0,0
2002-07-16,1535,16,7,2002,1,0
2002-07-17,1404,17,7,2002,2,0
2002-07-18,1480,18,7,2002,3,0
2002-07-19,1558,19,7,2002,4,0
2002-07-20,1593,20,7,2002,5,1
2002-07-21,1424,21,7,2002,6,1
2002-07-22,1454,22,7,2002,0,0
2002-07-23,1460,23,7,2002,1,0
2002-07-24,1477,24,7,2002,2,0
2002-07-25,1413,25,7,2002,3,0
2002-07-26,1472,26,7,2002,4,0
2002-07-27,1491,27,7,2002,5,1
2002-07-28,1443,28,7,2002,6,1
2002-07-29,1576,29,7,2002,0,0
2002-07-30,1543,30,7,2002,1,0
2002-07-31,1460,31,7,2002,2,0
2002-08-01,1690,1,8,2002,3,0
